age,PFT_long,relative_mean,s
44,BNE,0.2688067608318031,Control
44,IBS,0.2028560838085694,Control
44,TeBS,0.01031135734159417,Control
44,Tundra,0.2942508759412251,Control
44,otherC,0.20695052670351682,Control
45,BNE,0.2724676165664675,Control
45,IBS,0.20738572117088194,Control
45,TeBS,0.010622865176597038,Control
45,Tundra,0.2849355576828141,Control
45,otherC,0.20776384402994819,Control
46,BNE,0.27588807001909765,Control
46,IBS,0.2117282314306855,Control
46,TeBS,0.010866060253836187,Control
46,Tundra,0.27605720212132256,Control
46,otherC,0.20863604080176684,Control
47,BNE,0.2791682625803481,Control
47,IBS,0.21614376004095665,Control
47,TeBS,0.011113572623145886,Control
47,Tundra,0.26771526317922334,Control
47,otherC,0.20903474620303464,Control
48,BNE,0.28277888137686125,Control
48,IBS,0.22040019381922177,Control
48,TeBS,0.011369130131123178,Control
48,Tundra,0.2584741484664024,Control
48,otherC,0.21015325083310005,Control
49,BNE,0.2862019584073812,Control
49,IBS,0.22461123254825383,Control
49,TeBS,0.011617535166401308,Control
49,Tundra,0.24937818177926963,Control
49,otherC,0.21136669672540287,Control
50,BNE,0.2894727451824734,Control
50,IBS,0.22882194579478615,Control
50,TeBS,0.011863491134530639,Control
50,Tundra,0.2411247505687153,Control
50,otherC,0.2118926719462033,Control
51,BNE,0.29254550548500013,Control
51,IBS,0.23271653907289702,Control
51,TeBS,0.012112601712671329,Control
51,Tundra,0.23309180046660502,Control
51,otherC,0.21270915788953534,Control
52,BNE,0.2957303922203439,Control
52,IBS,0.23761128532607087,Control
52,TeBS,0.011552660023845064,Control
52,Tundra,0.22518112341817317,Control
52,otherC,0.2131001436382755,Control
53,BNE,0.29884346567434095,Control
53,IBS,0.2414411365376829,Control
53,TeBS,0.011849601362139995,Control
53,Tundra,0.21689423377383385,Control
53,otherC,0.21414716727871097,Control
54,BNE,0.3017967296005277,Control
54,IBS,0.24619777276842256,Control
54,TeBS,0.01131186746795815,Control
54,Tundra,0.2091389303555659,Control
54,otherC,0.21473030443423444,Control
55,BNE,0.30482026737657186,Control
55,IBS,0.24980216896298368,Control
55,TeBS,0.011623039337941708,Control
55,Tundra,0.20187858202908196,Control
55,otherC,0.21505154692012948,Control
56,BNE,0.3077804936756272,Control
56,IBS,0.25352014157937813,Control
56,TeBS,0.011905078994689287,Control
56,Tundra,0.19444757979858396,Control
56,otherC,0.21552231057843013,Control
57,BNE,0.3111427333219543,Control
57,IBS,0.25713762848568955,Control
57,TeBS,0.012170992093992784,Control
57,Tundra,0.18724392856301258,Control
57,otherC,0.21548032216205934,Control
58,BNE,0.31382967042281557,Control
58,IBS,0.260969496747487,Control
58,TeBS,0.012414922042571601,Control
58,Tundra,0.18011653533727476,Control
58,otherC,0.21584498007655964,Control
59,BNE,0.316851076604218,Control
59,IBS,0.26459600862539545,Control
59,TeBS,0.012662645761387006,Control
59,Tundra,0.17209431529106878,Control
59,otherC,0.21697155834463935,Control
60,BNE,0.3198551824798878,Control
60,IBS,0.2679087758337006,Control
60,TeBS,0.012886623634385601,Control
60,Tundra,0.16489967093173322,Control
60,otherC,0.21762535174700154,Control
61,BNE,0.32269008116415127,Control
61,IBS,0.27133687316136856,Control
61,TeBS,0.013163067938452564,Control
61,Tundra,0.15759070713569964,Control
61,otherC,0.21839487522703674,Control
62,BNE,0.32530044008042414,Control
62,IBS,0.27456116739044134,Control
62,TeBS,0.013372521528550643,Control
62,Tundra,0.15140842781912828,Control
62,otherC,0.2185330478081644,Control
63,BNE,0.3281467814506723,Control
63,IBS,0.2774878935458883,Control
63,TeBS,0.013647254466446369,Control
63,Tundra,0.14478766895767528,Control
63,otherC,0.21910600620602655,Control
64,BNE,0.330857194435644,Control
64,IBS,0.28048062444174926,Control
64,TeBS,0.013888272596160265,Control
64,Tundra,0.13855300299449394,Control
64,otherC,0.2193965101586611,Control
65,BNE,0.33344500452673975,Control
65,IBS,0.2833048284410874,Control
65,TeBS,0.014146471491451141,Control
65,Tundra,0.13242283723758397,Control
65,otherC,0.2198564629298463,Control
66,BNE,0.33585403518176077,Control
66,IBS,0.2858580012341446,Control
66,TeBS,0.014387030205573621,Control
66,Tundra,0.12671265366168455,Control
66,otherC,0.22036388434354512,Control
67,BNE,0.33814956654979067,Control
67,IBS,0.2886913507691535,Control
67,TeBS,0.014655476892485851,Control
67,Tundra,0.12172391671023336,Control
67,otherC,0.21995529370504535,Control
68,BNE,0.34035567375197334,Control
68,IBS,0.291729948334229,Control
68,TeBS,0.014870395149225153,Control
68,Tundra,0.11625376969313063,Control
68,otherC,0.21996581769815055,Control
69,BNE,0.34247555017489845,Control
69,IBS,0.29437715532339936,Control
69,TeBS,0.015141868609692988,Control
69,Tundra,0.11143658471513189,Control
69,otherC,0.21974444580358607,Control
70,BNE,0.3443613647742369,Control
70,IBS,0.29667085985603714,Control
70,TeBS,0.015437388701700534,Control
70,Tundra,0.1069564994888328,Control
70,otherC,0.21974949180590142,Control
71,BNE,0.3464805450824297,Control
71,IBS,0.29859696364227345,Control
71,TeBS,0.015691559505538282,Control
71,Tundra,0.10249017459486699,Control
71,otherC,0.21991636180160024,Control
72,BNE,0.3480183354961189,Control
72,IBS,0.3005581867000548,Control
72,TeBS,0.01595538955270065,Control
72,Tundra,0.09897517808574204,Control
72,otherC,0.21966851479209212,Control
73,BNE,0.34999446930991457,Control
73,IBS,0.3018048298713123,Control
73,TeBS,0.01629198563905044,Control
73,Tundra,0.09479452884692167,Control
73,otherC,0.22028979095950987,Control
